CODEPRA	MA	CroplandFraction	FodderlandFraction	NPGFraction	PGFraction	ForestFraction
40387	31707	0,51882	0,030385	0,099114	0,081718	0,26997
45340	46828	0,51796	0,011382	0,037477	0,034231	0,39895
72092	41257	0,51782	0,076399	0,082701	0,2426	0,080482
01198	61875	0,51472	0,042214	0,14182	0,074715	0,22653
17111	27696	0,51303	0,036095	0,068639	0,30221	0,080028
89322	118600	0,51153	0,011644	0,014798	0,063736	0,39829
54308	78775	0,50825	0,026417	0,024233	0,14493	0,29617
40382	87256	0,50794	0,032497	0,075124	0,071124	0,31331
67301	104470	0,50766	0,019509	0,017843	0,099736	0,35526
33120	3443,9	0,50401	0,04675	0,068237	0,25727	0,12373
89186	192130	0,50301	0,0069118	0,016629	0,043412	0,43003
30471	28401	0,50016	0,0063379	0,055527	0,25566	0,18231
80037	12225	0,49831	0,085725	0,037218	0,23681	0,14194
33400	6360,1	0,49785	0,011163	0,089621	0,16682	0,23454
64381	77540	0,49737	0,044158	0,17668	0,075445	0,20635
10011	113710	0,49609	0,0056901	0,0088738	0,03933	0,45002
26240	88491	0,49421	0,0027087	0,055983	0,056254	0,39084
51321	35563	0,49362	0,0025931	0,0073391	0,081602	0,41485
65150	39041	0,49156	0,023078	0,088728	0,10996	0,28667
82399	16424	0,49023	0,010411	0,15331	0,089806	0,25624
62030	79905	0,48533	0,12815	0,039059	0,2541	0,093355
60042	36385	0,48482	0,011213	0,0079428	0,028885	0,46714
32388	45550	0,48426	0,0099232	0,15484	0,072931	0,27805
18439	74572	0,48375	0,0092662	0,074773	0,18539	0,24682
27052	37366	0,48347	0,072313	0,028422	0,20409	0,2117
76047	36289	0,48086	0,074375	0,032351	0,22172	0,1907
31392	39595	0,47859	0,016669	0,1229	0,13823	0,24362
18066	16524	0,47647	0,0030259	0,034435	0,13459	0,35147
37346	104090	0,47584	0,021856	0,067596	0,064781	0,36993
65383	7401,2	0,47389	0,04148	0,20321	0,046614	0,23481
71202	47942	0,46895	0,026595	0,03863	0,2056	0,26022
68303	67227	0,46862	0,044967	0,039761	0,11223	0,33443
91337	9010,8	0,46709	0	0,0032183	0,004772	0,52492
54316	35710	0,46629	0,057576	0,037105	0,18152	0,25751
33127	756,39	0,45772	0,019831	0	0,24062	0,28183
64386	14968	0,45495	0,029796	0,18245	0,078766	0,25404
27352	73701	0,45333	0,038982	0,028629	0,13118	0,34788
63176	50018	0,45318	0,0076973	0,044484	0,19739	0,29724
59033	89669	0,45125	0,1058	0,0074942	0,28208	0,15337
52322	34210	0,45051	0,013359	0,014002	0,063579	0,45855
58185	128080	0,44947	0,0053328	0,039227	0,12907	0,3769
03426	104190	0,44803	0,0098477	0,077352	0,29415	0,17062
47157	33541	0,44564	0,0078113	0,058674	0,055812	0,43206
82155	55354	0,44178	0,034849	0,16698	0,14077	0,21562
71440	39811	0,44074	0,020145	0,036724	0,17302	0,32937
40380	6262,2	0,44041	0,025382	0,066439	0,052538	0,41524
47401	3810,8	0,43934	0,088171	0,23932	0,12963	0,10353
21204	43865	0,43879	0,01247	0,0086173	0,12488	0,41524
72091	63522	0,43808	0,073345	0,10107	0,13677	0,25074
57306	189500	0,43637	0,038348	0,036892	0,23757	0,25082
56359	45187	0,4356	0,13323	0,20938	0,029544	0,19225
37071	10525	0,43546	0,0047504	0,045509	0,048644	0,46564
27077	59374	0,43506	0,072741	0,023379	0,29865	0,17018
10020	3185,3	0,43323	0,016011	0,011302	0,14347	0,39599
41068	22341	0,43319	0,012488	0,022873	0,031198	0,50025
35358	22556	0,4329	0,14887	0,22668	0,1041	0,08745
89340	92470	0,43242	0,026538	0,066378	0,11661	0,35805
41065	22636	0,43167	0,0071126	0,031234	0,031278	0,49871
78332	18369	0,43149	0,0025893	0,011184	0,027927	0,52681
47402	11008	0,4313	0,026344	0,16806	0,13953	0,23476
22358	78044	0,42844	0,16175	0,21616	0,047653	0,146
84467	21870	0,42726	0,0038409	0,032465	0,14504	0,39139
22359	203800	0,42707	0,17441	0,22082	0,039368	0,13834
63427	25481	0,42592	0,024881	0,068758	0,24787	0,23257
59028	37304	0,42434	0,080339	0,0095431	0,18261	0,30317
13244	47560	0,42208	0,0030698	0,032507	0,49645	0,045897
61355	68666	0,42009	0,081801	0,030058	0,32675	0,1413
16112	105810	0,42001	0,017852	0,076673	0,074651	0,41081
85110	16960	0,41096	0,1421	0,21244	0,13473	0,099778
